Rank,Player,Team,Position,"FHG Value","Games Played",SO,SV%,GAA,W,G,A,+/-,SOG,GWG,PPP,SHP,HITS,FOW
169,"Brooks Orpik",WSH,D,0,78," "," "," "," ",0,19,5,66,0,0,0,306,0
170,"Ryan Nugent-Hopkins",EDM,C,-0,76," "," "," "," ",24,32,-12,189,2,14,1,92,620
171,"Brad Boyes",FLA,RW,-0,78," "," "," "," ",14,24,11,151,4,9,0,60,97
172,"Jimmy Hayes",BOS,RW,-1,72," "," "," "," ",19,16,-4,166,3,11,0,147,4
173,"Francois Beauchemin",COL,D,-1,64," "," "," "," ",11,12,17,110,1,3,1,105,1
174,"Brayden McNabb",LAK,D,-1,71," "," "," "," ",2,22,11,74,1,5,0,175,1
175,"Kevin Hayes",NYR,RW,-2,79," "," "," "," ",17,28,15,111,1,5,1,57,247
176,"Tyler Bozak",TOR,C,-2,82," "," "," "," ",23,26,-34,154,3,18,2,83,944
177,"Seth Jones",NSH,D,-2,82," "," "," "," ",8,19,3,123,0,11,1,72,0
178,"Martin St. Louis",NYR,RW,-3,74," "," "," "," ",21,31,12,144,1,13,0,13,51
179,"Paul Stastny",STL,C,-3,74," "," "," "," ",16,30,5,143,7,15,0,22,671
180,"Brad Marchand",BOS,LW,-3,77," "," "," "," ",24,18,5,180,5,2,3,72,13
181,"Adam Larsson",NJD,D,-3,64," "," "," "," ",3,21,2,91,1,0,3,92,0
182,"Eric Staal",CAR,C,-3,77," "," "," "," ",23,31,-13,244,4,17,0,65,343
183,"Dustin Brown",LAK,RW,-4,82," "," "," "," ",11,16,-17,189,3,6,0,242,15
184,"Ryan O'Reilly",BUF,C,-4,82," "," "," "," ",17,38,-5,171,1,12,2,38,713
185,"Cody Eakin",DAL,C,-4,78," "," "," "," ",19,21,-1,142,6,4,3,62,656
186,"Erik Johnson",COL,D,-5,47," "," "," "," ",12,11,2,115,2,6,1,93,0
187,"Dan Boyle",NYR,D,-6,65," "," "," "," ",9,11,18,116,3,8,0,49,0
188,"Matt Duchene",COL,C,-6,82," "," "," "," ",21,34,3,207,4,7,0,43,635
189,"Mark Scheifele",WPG,C,-6,82," "," "," "," ",15,34,11,170,2,13,0,100,492
190,"Lance Bouma",CGY,LW,-7,78," "," "," "," ",16,18,10,104,4,1,1,264,29
191,"Marc Staal",NYR,D,-7,80," "," "," "," ",5,15,18,97,0,0,2,99,1
192,"Justin Williams",WSH,RW,-7,81," "," "," "," ",18,23,8,174,2,13,0,29,3
193,"Ryan Strome",NYI,C,-7,81," "," "," "," ",17,33,23,179,2,8,1,92,149
194,"Matt Beleskey",BOS,LW,-8,65," "," "," "," ",22,10,13,145,8,4,0,159,8
195,"Tyler Myers",WPG,D,-8,71," "," "," "," ",7,21,-6,124,0,6,2,65,0
196,"Danny Dekeyser",DET,D,-8,80," "," "," "," ",2,29,11,89,1,6,0,74,0
197,"Mike Ribeiro",NSH,C,-9,82," "," "," "," ",15,47,11,96,3,12,0,42,582
