Rank,Player,Team,Position,"FHG Value","Games Played",SV%,GAA,W,SO,G,A,+/-,SOG,GWG,PPP,SHP,HITS,FOW
281,"Matt Read",PHI,LW/RW,-24,75," "," "," "," ",14,22,-2,140,2,4,2,88,12
282,"Johnny Oduya",DAL,D,-24,78," "," "," "," ",3,12,11,82,0,0,1,55,0
283,"Daniel Winnik",TOR,LW,-24,79," "," "," "," ",7,25,17,119,1,0,2,97,69
284,"Jan Hejda",COL,D,-24,79," "," "," "," ",3,12,-3,79,0,0,0,168,0
285,"Eric Gryba",EDM,D,-24,62," "," "," "," ",1,10,7,65,0,0,0,160,0
286,"Roman Polak",TOR,D,-24,70," "," "," "," ",3,8,-8,72,1,0,0,191,0
287,"Corey Crawford",CHI,G,-24,52,0.921,2.22,30,3," "," "," "," "," "," "," "," "," "
288,"Karl Alzner",WSH,D,-24,82," "," "," "," ",3,14,0,80,0,0,1,92,0
289,"Brian Boyle",TBL,C/LW,-25,76," "," "," "," ",8,11,-3,125,2,2,2,162,324
290,"Alexander Semin",MTL,LW/RW,-25,65," "," "," "," ",14,27,2,179,1,10,1,26,3
291,"Jonathan Ericsson",DET,D,-25,69," "," "," "," ",2,13,1,71,0,0,1,107,0
292,"Mikkel Boedker",ARI,LW/RW,-25,70," "," "," "," ",13,29,-8,131,2,14,0,99,1
293,"Jay Harrison",WPG,D,-25,67," "," "," "," ",3,11,-4,81,1,3,0,118,0
294,"Willie Mitchell",FLA,D,-25,71," "," "," "," ",2,8,6,75,0,1,1,100,0
295,"Carl Gunnarsson",STL,D,-26,68," "," "," "," ",2,15,10,50,0,1,0,109,0
296,"Barret Jackman",NSH,D,-26,79," "," "," "," ",3,13,7,80,0,0,0,105,0
297,"Kyle Palmieri",NJD,LW/RW,-26,67," "," "," "," ",13,19,4,138,4,6,0,95,5
298,"Gustav Nyquist",DET,C/LW/RW,-26,59," "," "," "," ",19,21,2,144,3,13,0,23,2
299,"Mikael Backlund",CGY,C,-26,61," "," "," "," ",12,19,1,140,2,6,2,52,414
300,"Tyler Toffoli",LAK,LW/RW,-27,51," "," "," "," ",12,17,17,119,2,4,2,51,2
301,"Trevor Lewis",LAK,C/LW/RW,-27,76," "," "," "," ",7,13,5,134,2,0,2,163,78
302,"Alex Galchenyuk",MTL,C/LW,-27,75," "," "," "," ",14,27,4,138,2,9,0,64,49
303,"Nick Bonino",PIT,C,-27,66," "," "," "," ",14,23,7,127,3,10,0,26,435
304,"Matt Martin",NYI,LW/RW,-27,80," "," "," "," ",7,8,-7,108,2,0,0,379,5
305,"Leo Komarov",TOR,C,-27,67," "," "," "," ",6,16,-1,87,2,1,2,272,61
306,"Marco Scandella",MIN,D,-27,50," "," "," "," ",5,9,5,67,2,2,0,57,0
307,"Zemgus Girgensons",BUF,C/LW,-27,66," "," "," "," ",12,14,-11,115,1,2,3,144,270
308,"Andre Benoit",STL,D,-28,65," "," "," "," ",4,14,-8,79,1,4,1,47,0
309,"Mark Letestu",EDM,C/RW,-28,72," "," "," "," ",11,18,0,109,2,6,2,59,312
310,"Lance Bouma",CGY,C/LW/RW,-28,78," "," "," "," ",11,14,3,93,2,1,1,223,26
311,"Jonas Brodin",MIN,D,-28,75," "," "," "," ",4,14,10,85,0,4,0,31,0
312,"Brayden McNabb",LAK,D,-28,41," "," "," "," ",2,10,7,43,1,3,0,100,1
313,"John Mitchell",COL,C,-29,74," "," "," "," ",11,20,4,111,2,4,1,137,306
314,"Kevan Miller",BOS,D,-29,44," "," "," "," ",2,5,20,39,1,0,0,95,0
315,"Danny Dekeyser",DET,D,-29,54," "," "," "," ",2,17,9,66,0,3,0,51,0
316,"Cody Ceci",OTT,D,-30,65," "," "," "," ",4,12,-4,105,1,2,0,67,0
317,"Alex Burrows",VAN,LW/RW,-30,66," "," "," "," ",12,17,2,155,2,7,1,84,26
318,"Nick Holden",COL,D,-30,45," "," "," "," ",5,8,1,54,1,4,0,92,0
319,"Artem Anisimov",CHI,C/LW,-30,64," "," "," "," ",13,19,-5,122,3,4,2,29,276
320,"Andrew Ference",EDM,D,-31,74," "," "," "," ",3,14,-10,77,0,1,0,148,1
321,"Brock Nelson",NYI,C,-31,77," "," "," "," ",17,17,-3,161,2,11,0,87,273
322,"Chris Phillips",OTT,D,-31,62," "," "," "," ",2,11,-6,84,0,4,0,122,0
323,"Chris Kreider",NYR,LW,-31,61," "," "," "," ",13,18,14,122,1,7,0,125,6
324,"Brad Boyes",FLA,C/RW,-31,79," "," "," "," ",15,27,-1,164,1,10,0,58,46
325,"Adam Larsson",NJD,D,-31,51," "," "," "," ",1,12,2,56,1,0,1,68,0
326,"Benoit Pouliot",EDM,LW,-31,65," "," "," "," ",14,20,7,115,3,6,0,93,14
327,"Erik Gudbranson",FLA,D,-31,65," "," "," "," ",2,8,-12,95,0,2,0,170,0
328,"Marc-Andre Fleury",PIT,G,-31,57,0.917,2.32,34,6," "," "," "," "," "," "," "," "," "
329,"Jordie Benn",DAL,D,-32,65," "," "," "," ",2,13,3,71,0,3,0,86,0
330,"Reilly Smith",FLA,LW/RW,-32,75," "," "," "," ",12,26,14,121,1,10,0,58,2
331,"Patrik Berglund",STL,C,-32,79," "," "," "," ",14,19,3,140,2,4,1,91,270
332,"Michael Raffl",PHI,C/LW,-32,67," "," "," "," ",15,10,4,116,3,1,1,141,48
333,"Tomas Fleischmann",ANA,LW,-32,76," "," "," "," ",9,26,-7,172,2,8,1,60,6
334,"Andrew MacDonald",PHI,D,-33,74," "," "," "," ",3,17,-12,78,1,7,0,51,0
335,"Jonathan Huberdeau",FLA,C/LW,-33,76," "," "," "," ",12,32,-4,152,1,10,0,68,6
336,"Nicklas Grossmann",ARI,D,-33,65," "," "," "," ",2,10,1,50,0,0,0,149,0
337,"Luca Sbisa",VAN,D,-34,58," "," "," "," ",2,8,-3,58,1,1,0,133,0
338,"Jannik Hansen",VAN,RW,-34,77," "," "," "," ",12,19,-2,137,2,2,2,91,5
339,"John Moore",NJD,D,-34,60," "," "," "," ",2,10,2,82,1,2,0,66,0
340,"Tom Gilbert",MTL,D,-34,73," "," "," "," ",3,17,-2,77,0,4,0,53,0
341,"Kyle Quincey",DET,D,-34,72," "," "," "," ",3,10,5,88,0,0,0,83,0
342,"Pascal Dupuis",PIT,LW/RW,-34,45," "," "," "," ",11,20,18,123,1,3,1,74,10
343,"Nikita Nikitin",EDM,D,-34,58," "," "," "," ",3,10,0,93,1,2,0,54,0
344,"Mathieu Perreault",WPG,C,-34,66," "," "," "," ",14,25,10,115,1,9,0,70,277
345,"Charlie Coyle",MIN,C/RW,-35,71," "," "," "," ",10,20,3,116,3,3,0,112,175
346,"Christopher Tanev",VAN,D,-37,66," "," "," "," ",3,14,9,53,1,1,0,24,0
347,"John-Michael Liles",CAR,D,-37,50," "," "," "," ",2,14,-2,75,0,4,0,64,0
348,"Braydon Coburn",TBL,D,-37,60," "," "," "," ",2,11,-5,79,1,0,0,94,0
349,"Vernon Fiddler",DAL,C/LW,-37,78," "," "," "," ",8,19,0,115,1,2,2,47,467
350,"Clayton Stoner",ANA,D,-38,71," "," "," "," ",1,8,-4,62,1,0,0,124,0
351,"Steve Ott",STL,C/LW,-38,80," "," "," "," ",7,16,-17,97,1,2,1,238,317
352,"Tomas Hertl",SJS,C/LW,-38,59," "," "," "," ",14,15,3,121,4,5,0,73,34
353,"Mike Weber",BUF,D,-39,68," "," "," "," ",1,8,-20,44,0,0,1,196,0
354,"Kevin Connauton",CBJ,D,-39,49," "," "," "," ",5,10,-1,76,0,3,0,63,0
355,"Grant Clitsome",WPG,D,-39,44," "," "," "," ",2,12,4,52,0,2,0,78,0
356,"Marcus Johansson",WSH,C/LW/RW,-39,73," "," "," "," ",11,31,-5,107,1,15,0,49,47
357,"Ryan Strome",NYI,C,-40,59," "," "," "," ",12,22,11,134,2,7,0,61,157
358,"Michael Ryder",NJD,RW,-40,69," "," "," "," ",13,22,-2,141,2,11,0,55,3
359,"Erik Cole",DET,LW/RW,-40,74," "," "," "," ",15,17,-8,136,2,7,0,127,15
360,"Jared Cowen",OTT,D,-40,44," "," "," "," ",3,5,-3,42,1,0,0,133,0
361,"Teddy Purcell",EDM,LW/RW,-41,81," "," "," "," ",12,31,-14,153,2,14,0,19,3
362,"Drew Stafford",WPG,LW/RW,-41,75," "," "," "," ",13,24,-18,177,1,6,1,80,76
363,"Nick Bjugstad",FLA,C,-41,56," "," "," "," ",14,15,-10,143,2,5,1,99,363
364,"Michal Rozsival",CHI,D,-41,51," "," "," "," ",1,11,9,41,0,0,0,81,0
365,"Chris Higgins",VAN,LW,-42,75," "," "," "," ",13,21,-4,177,2,3,0,82,18
366,"Matt Bartkowski",VAN,D,-42,43," "," "," "," ",0,9,6,59,0,0,0,90,0
367,"Nathan Guenin",COL,D,-43,72," "," "," "," ",2,10,1,45,0,0,0,107,0
368,"Chris Stewart",ANA,LW/RW,-43,75," "," "," "," ",16,22,-10,141,1,10,0,90,10
369,"Brendan Smith",DET,D,-43,68," "," "," "," ",3,12,-2,79,0,2,0,50,0
370,"Jon Merrill",NJD,D,-43,59," "," "," "," ",2,11,-9,46,1,3,1,43,0
371,"Josh Gorges",BUF,D,-43,65," "," "," "," ",1,11,-7,42,0,0,1,97,0
372,"Yannick Weber",VAN,D,-43,41," "," "," "," ",5,6,-1,64,1,4,0,37,0
373,"Colin Wilson",NSH,C/LW,-44,67," "," "," "," ",13,21,7,113,2,7,0,41,81
374,"Mason Raymond",CGY,LW,-44,72," "," "," "," ",14,21,-6,149,2,7,1,25,8
375,"Mark Fraser",NJD,D,-44,51," "," "," "," ",0,6,2,27,0,0,0,149,0
376,"Dwight King",LAK,LW/RW,-44,79," "," "," "," ",11,15,4,115,2,1,1,113,2
377,"Cody Hodgson",NSH,C/RW,-44,77," "," "," "," ",14,21,-24,165,1,9,1,42,335
378,"Bryan Bickell",CHI,LW,-45,73," "," "," "," ",11,15,4,112,2,1,0,162,1
379,"Carl Soderberg",COL,C/LW,-45,54," "," "," "," ",10,22,5,101,2,8,0,44,171
380,"Ryan Murray",CBJ,D,-45,39," "," "," "," ",3,9,3,35,0,4,1,16,0
381,"Vincent Lecavalier",PHI,C/LW,-45,64," "," "," "," ",13,22,-11,125,1,10,0,74,232
382,"Jonathan Bernier",TOR,G,-46,45,0.918,2.71,56,5," "," "," "," "," "," "," "," "," "
383,"Mark Fayne",EDM,D,-46,66," "," "," "," ",2,7,-7,75,0,0,1,69,0
384,"Deryk Engelland",CGY,D,-46,68," "," "," "," ",3,8,-7,55,0,0,0,123,0
385,"Blake Comeau",COL,LW,-46,65," "," "," "," ",9,14,0,119,2,0,0,189,19
386,"Zbynek Michalek",ARI,D,-46,61," "," "," "," ",2,7,2,79,0,0,0,69,0
387,"Anton Volchenkov",NSH,D,-46,55," "," "," "," ",0,8,2,46,0,0,0,108,0
388,"Dalton Prout",CBJ,D,-46,53," "," "," "," ",1,7,-2,52,0,0,0,120,0
389,"Chris Butler",STL,D,-46,63," "," "," "," ",2,11,-10,71,0,0,1,61,0
390,"Tobias Rieder",ARI,RW,-46,71," "," "," "," ",13,7,-20,181,1,1,3,123,1
391,"Curtis Glencross",WSH,LW,-46,59," "," "," "," ",13,21,-7,110,2,9,0,92,14
392,"Gregory Campbell",CBJ,C/LW,-46,77," "," "," "," ",6,12,2,77,1,1,2,125,294
393,"Damon Severson",NJD,D,-46,50," "," "," "," ",5,12,-13,93,0,7,0,18,0
394,"Ron Hainsey",CAR,D,-47,80," "," "," "," ",2,12,-12,79,0,1,0,93,0
395,"Boone Jenner",CBJ,C,-47,52," "," "," "," ",13,10,1,105,3,6,0,157,83
396,"Brian Elliott",STL,G,-47,37,0.917,2.18,21,4," "," "," "," "," "," "," "," "," "
397,"Alex Killorn",TBL,C/LW,-47,65," "," "," "," ",12,21,3,130,2,4,0,61,40
398,"Tim Gleason",WSH,D,-48,67," "," "," "," ",1,8,-14,52,0,0,0,162,0
399,"Ian Cole",PIT,D,-48,49," "," "," "," ",3,8,9,50,0,1,0,37,0
400,"Matt Greene",LAK,D,-48,43," "," "," "," ",2,4,2,38,0,0,0,119,0
401,"Alex Tanguay",COL,LW/RW,-48,54," "," "," "," ",12,25,-3,69,2,10,1,31,27
402,"Adam McQuaid",BOS,D,-48,48," "," "," "," ",1,6,4,42,0,0,0,99,0
403,"Bryan Allen",MTL,D,-48,50," "," "," "," ",0,7,8,38,0,0,0,84,0
404,"Victor Rask",CAR,C,-48,79," "," "," "," ",12,22,-14,171,1,10,0,42,464
405,"Raphael Diaz",NYR,D,-49,53," "," "," "," ",2,10,0,57,0,5,0,26,0
406,"Dylan Olsen",FLA,D,-49,44," "," "," "," ",3,7,-5,52,0,1,0,97,0
407,"Ladislav Smid",CGY,D,-49,62," "," "," "," ",1,5,-9,38,0,0,0,161,0
408,"Jason Chimera",WSH,LW/RW,-50,80," "," "," "," ",8,21,-1,137,1,2,0,133,34
409,"Matt Donovan",BUF,D,-50,32," "," "," "," ",1,9,-3,49,1,3,0,45,0
410,"Matt Dumba",MIN,D,-50,31," "," "," "," ",4,4,5,44,1,3,0,23,0
411,"Jamie McBain",LAK,D,-50,54," "," "," "," ",3,11,-3,65,0,3,0,31,0
412,"Milan Michalek",OTT,LW/RW,-50,62," "," "," "," ",11,21,-5,128,1,7,1,57,6
413,"Robert Bortuzzo",STL,D,-50,43," "," "," "," ",2,6,-3,42,0,0,0,113,0
414,"Ryan Garbutt",CHI,RW,-50,68," "," "," "," ",9,17,1,140,1,0,1,111,9
415,"Josh Bailey",NYI,LW/RW,-50,71," "," "," "," ",11,26,1,120,1,6,0,51,59
416,"Nathan Gerbe",CAR,C/LW/RW,-50,76," "," "," "," ",10,16,-9,195,1,5,1,60,4
417,"Michael Grabner",TOR,RW,-51,58," "," "," "," ",12,12,-1,126,2,1,2,60,6
418,"David Schlemko",NJD,D,-51,47," "," "," "," ",1,6,4,55,0,2,0,56,0
419,"Brett Bellemore",CAR,D,-51,41," "," "," "," ",1,6,0,29,0,0,0,114,0
420,"Matt Hunwick",TOR,D,-51,43," "," "," "," ",1,6,8,56,0,1,0,42,0
421,"Ryan Stanton",WSH,D,-52,40," "," "," "," ",1,8,5,42,0,0,0,64,0
422,"Korbinian Holzer",ANA,D,-52,36," "," "," "," ",1,5,-6,31,1,0,0,114,0
423,"Derek MacKenzie",FLA,C/LW,-52,75," "," "," "," ",6,8,-6,67,0,0,1,243,327
424,"Nate Thompson",ANA,C,-53,79," "," "," "," ",7,12,0,96,1,0,1,155,454
425,"Antti Niemi",DAL,G,-53,61,0.916,2.36,34,4," "," "," "," "," "," "," "," "," "
426,"Rob Scuderi",PIT,D,-53,72," "," "," "," ",1,9,-2,44,0,0,1,35,0
427,"Mark Fistric",ANA,D,-53,29," "," "," "," ",0,5,5,13,0,0,0,110,0
428,"Matt Cullen",PIT,C,-53,70," "," "," "," ",8,27,9,118,1,7,0,18,278
429,"Joffrey Lupul",TOR,LW/RW,-53,50," "," "," "," ",14,16,-6,119,2,7,0,82,10
430,"Andrej Meszaros",BUF,D,-53,44," "," "," "," ",5,8,-6,60,0,1,0,54,0
431,"Rasmus Ristolainen",BUF,D,-53,56," "," "," "," ",5,7,-24,87,0,4,0,92,1
432,"Petr Mrazek",DET,G,-54,15,0.92,2.35,19,5," "," "," "," "," "," "," "," "," "
433,"Cody McLeod",COL,LW/RW,-54,78," "," "," "," ",7,7,2,97,1,0,1,202,3
434,"Jamie McGinn",BUF,LW/RW,-54,59," "," "," "," ",11,16,-10,135,2,7,0,103,2
435,"Marcus Foligno",BUF,LW,-54,70," "," "," "," ",7,15,-11,79,1,2,1,200,83
436,"Nick Schultz",PHI,D,-54,77," "," "," "," ",1,10,-9,52,0,0,0,93,0
437,"Shawn Matthias",TOR,C/LW,-54,79," "," "," "," ",15,13,-5,142,0,2,1,88,140
438,"Connor Murphy",ARI,D,-54,51," "," "," "," ",3,5,-11,51,1,0,0,90,0
439,"Elias Lindholm",CAR,C,-55,68," "," "," "," ",13,17,-17,119,4,10,0,78,109
440,"Casey Cizikas",NYI,C,-55,76," "," "," "," ",7,12,-5,83,1,2,2,135,360
441,"Andrej Sustr",TBL,D,-55,39," "," "," "," ",0,7,5,32,0,0,1,22,0
442,"Mark Borowiecki",OTT,D,-55,28," "," "," "," ",1,3,5,13,0,0,0,105,0
443,"Sean Bergenheim",MIN,LW,-55,59," "," "," "," ",13,11,-9,147,3,4,0,91,2
444,"Mike Weaver",MTL,D,-55,50," "," "," "," ",1,9,-1,31,0,0,0,78,0
445,"Michael Kostka",OTT,D,-55,32," "," "," "," ",1,8,2,48,0,2,0,37,0
446,"Matt Calvert",CBJ,LW,-55,61," "," "," "," ",10,15,-3,98,2,2,1,104,4
447,"RJ Umberger",PHI,C,-55,74," "," "," "," ",12,14,-4,129,1,7,1,109,29
448,"Adam Pardy",WPG,D,-56,48," "," "," "," ",0,7,6,29,0,0,0,64,0
449,"Nikita Nesterov",TBL,D,-56,26," "," "," "," ",2,4,7,43,0,1,0,41,0
450,"Josh Jooris",CGY,C,-56,59," "," "," "," ",12,12,2,88,4,5,0,58,276
451,"Johnny Gaudreau",CGY,LW,-56,40," "," "," "," ",12,20,6,83,2,11,0,7,2
452,"Nick Spaling",TOR,C/LW,-56,78," "," "," "," ",10,18,-4,90,1,4,1,83,132
453,"Derek Roy",EDM,C,-56,73," "," "," "," ",9,28,-3,120,1,9,0,23,303
454,"Matt Stajan",CGY,C,-56,65," "," "," "," ",9,20,0,62,1,0,2,75,390
455,"Keaton Ellerby",WPG,D,-57,42," "," "," "," ",1,3,2,25,1,0,0,67,0
456,"Victor Bartley",NSH,D,-57,43," "," "," "," ",0,9,0,26,0,0,0,74,0
457,"Zach Redmond",COL,D,-57,27," "," "," "," ",2,8,0,41,0,3,0,28,0
458,"David Clarkson",CBJ,RW,-57,67," "," "," "," ",10,10,-13,150,2,4,0,150,13
459,"Marcel Goc",STL,C/LW,-58,73," "," "," "," ",8,12,-7,110,1,3,0,107,477
460,"Steve Oleksy",PIT,D,-58,27," "," "," "," ",1,7,7,23,0,0,0,47,0
