Rank,Player,Team,Position,"FHG Value","Games Played",SV%,GAA,W,SO,G,A,+/-,SOG,GWG,PPP,SHP,HITS,FOW
680,"J.t. Brown",TBL,RW,-96,57," "," "," "," ",4,10,-6,92,0,1,1,56,7
681,"David Booth",TOR,LW,-96,49," "," "," "," ",6,6,-4,89,1,0,0,82,7
682,"Nicolas Deslauriers",BUF,LW,-96,50," "," "," "," ",3,5,-17,53,1,0,1,156,0
683,"Dany Heatley",ANA,LW/RW,-96,48," "," "," "," ",8,12,-13,82,1,7,0,26,6
684,"Linden Vey",VAN,RW,-96,46," "," "," "," ",5,10,-2,34,1,4,1,8,134
685,"Zac Rinaldo",BOS,C/LW/RW,-96,60," "," "," "," ",2,4,-11,43,0,0,0,224,1
686,"Darcy Kuemper",MIN,G,-96,22,0.91,2.47,26,6," "," "," "," "," "," "," "," "," "
687,"Brett Ritchie",DAL,RW,-97,31," "," "," "," ",6,3,-1,78,1,1,0,89,1
688,"Devante Smith-Pelly",MTL,RW,-97,35," "," "," "," ",3,8,0,46,0,0,1,93,8
689,"Richard Panik",TOR,RW,-98,56," "," "," "," ",6,9,-7,66,1,2,0,78,2
690,"Calle Jarnkrok",NSH,C,-98,43," "," "," "," ",5,9,5,54,1,1,1,17,176
691,"James Sheppard",NYR,C,-98,64," "," "," "," ",4,12,-4,77,0,1,0,109,128
692,"Peter Holland",TOR,C,-98,47," "," "," "," ",6,9,1,59,1,2,0,59,193
693,"Scott Gomez",NJD,C,-99,57," "," "," "," ",4,20,-13,72,0,9,0,18,261
694,"Brandon Bollig",CGY,LW,-99,62," "," "," "," ",3,4,-4,78,0,0,0,140,1
695,"Riley Sheahan",DET,C,-99,41," "," "," "," ",7,13,2,61,0,5,0,15,243
696,"Chris Tierney",SJS,C,-100,42," "," "," "," ",6,15,2,46,1,5,0,11,148
697,"Chris Thorburn",WPG,RW,-100,69," "," "," "," ",4,7,-4,40,1,0,0,117,25
698,"TJ Galiardi",WPG,LW,-100,54," "," "," "," ",3,9,-8,81,0,1,1,60,23
699,"Jordin Tootoo",NJD,RW,-100,50," "," "," "," ",4,6,-1,55,1,1,0,90,0
700,"Joe Vitale",ARI,C/RW,-100,59," "," "," "," ",2,8,-7,46,1,0,0,90,231
701,"Beau Bennett",PIT,LW/RW,-101,38," "," "," "," ",3,10,1,54,1,2,0,50,1
702,"Andrej Nestrasil",CAR,C,-101,53," "," "," "," ",7,13,-1,81,0,3,0,52,52
703,"Jean-gabriel Pageau",OTT,C,-101,31," "," "," "," ",4,4,0,49,1,0,1,75,164
704,"Jake Allen",STL,G,-102,19,0.91,2.52,30,5," "," "," "," "," "," "," "," "," "
705,"Rich Clune",NSH,LW,-102,46," "," "," "," ",2,5,-2,33,1,0,0,129,0
706,"Jason Zucker",MIN,LW/RW,-102,35," "," "," "," ",9,4,-1,75,1,1,0,36,1
707,"Ryan White",PHI,RW,-102,43," "," "," "," ",3,4,-1,43,1,0,0,93,116
708,"Shawn Thornton",FLA,LW/RW,-103,61," "," "," "," ",3,5,-4,79,0,0,0,111,4
709,"Jordan Nolan",LAK,C/LW/RW,-103,66," "," "," "," ",4,5,-5,49,1,0,0,107,1
710,"Colton Sceviour",DAL,C/LW,-104,33," "," "," "," ",6,7,-1,61,1,2,0,33,16
711,"Marc-andre Cliche",COL,RW,-104,75," "," "," "," ",2,5,-7,68,0,0,1,26,353
712,"J.t. Miller",NYR,C,-104,44," "," "," "," ",5,8,-3,70,1,3,0,69,61
713,"Torrey Mitchell",MTL,C/RW,-104,69," "," "," "," ",4,8,-8,59,1,0,0,65,142
714,"Chad Johnson",BUF,G,-104,18,0.914,2.55,27,3," "," "," "," "," "," "," "," "," "
715,"Alex Stalock",SJS,G,-104,17,0.916,2.57,20,4," "," "," "," "," "," "," "," "," "
716,"Daniel Cleary",DET,LW/RW,-104,50," "," "," "," ",4,6,-9,74,0,2,1,55,8
717,"Alexander Wennberg",CBJ,C,-105,68," "," "," "," ",4,16,-19,85,0,4,0,58,288
718,"Andrew Hammond",OTT,G,-105,13,0.942,1.83,20,3," "," "," "," "," "," "," "," "," "
719,"Matt Halischuk",WPG,RW,-106,52," "," "," "," ",4,7,1,66,1,0,0,43,2
